id,sender_id,message,timestamp
34,1965863896784499,"Shop ơi mình muốn mua 2 món này mà shopee thì ghtk k hỗ trợ vận chuyển xe đẩy
https://scontent.xx.fbcdn.net/v/t1.15752-9/109079888_723510711766694_7794314330708208713_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=G7XyGA3_zSQAX_vLqdG&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=91f558d76740d79f530e4d2ea273dc83&oe=5F338AC4
Shop có ship tối k",2020-07-15 01:41:32
35,1531390636884407,"b ơi
https://scontent.xx.fbcdn.net/v/t1.15752-9/109467695_887197295116172_59055688091867734_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_oc=AQlr2I9JWNVZ9Em6jbSj8jq-c3N0Jtp-sQMtgNnOX6VmxI9oWgG2hhY-So2fdDGOy9COEV-AViCTiSer1WtjyAck&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=932a0ad93a6918d989e58809db5d07bb&oe=5F322748
máy này bên m bán bn ạ",2020-07-15 01:39:57
36,3099415966808586,/start_conversation,2020-07-14 12:47:43
36,3099415966808586,👋🏻,2020-07-14 12:47:53
37,3099415966808586,"Cho e hỏi bên mình còn sản phẩm này ko ạ
https://scontent.xx.fbcdn.net/v/t1.15752-9/109868122_675328076391315_1649207026110575466_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_oc=AQk-gtjA4ONRwzEHKOVTNGvYgrbgz2QTy2RMOyMmAHjZ8niD6IV5KFbQ-4Pvq6ZIljNrLRgKszoIXFA8k405gnaW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=5a607d939e1391c4908697395154e233&oe=5F345495",2020-07-15 01:36:20
38,3353452278033151,/start_conversation,2020-07-14 17:00:39
38,3353452278033151,Cho e xin giá xe đẩy v5 bên mình nha,2020-07-14 17:00:56
39,2474624789254253,E xin giá xe này,2020-07-14 16:24:58
40,2462771350420574,/start_conversation,2020-07-14 15:51:02
40,2462771350420574,"Shop có xe đẩy ko ạ
Tư vấn giúp mình với ạ",2020-07-14 15:51:25
41,2109635822411911,"B ơi
Nhà b còn kệ đựng đồ chơi đợt trc k",2020-07-14 09:38:43
41,2109635822411911,"https://scontent.xx.fbcdn.net/v/t1.15752-9/109329460_300718917861146_7922539172103880927_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=S94COlTqMjcAX8Hmq_8&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c3a8994649c096f38c1bef06141b1cca&oe=5F338A0C
Kệ này nè b
Hoặc kệ nào tương tự",2020-07-14 09:39:38
41,2109635822411911,"Kệ đồ chơi toyhouse b ạ
K phải kệ chữ a",2020-07-14 09:40:28
41,2109635822411911,"Ôi b
Bên b dùng chatbot trả lời à
Setup buồn cười thế",2020-07-14 09:41:13
42,1721123881337645,/start_conversation,2020-07-14 08:36:36
42,1721123881337645,"https://scontent.xx.fbcdn.net/v/t1.15752-9/108028015_272961860699739_609882887945856280_n.png?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=SY23-T-igGEAX_AEQQV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=374b2b1101a0cfd3a0567ec34d430a99&oe=5F34A4CE
bộ này bao tiền ạ",2020-07-14 08:36:52
42,1721123881337645,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/7601928916"", ""product_id"": ""https://shopee.vn/product/36371562/7601928916""}",2020-07-14 08:40:01
43,3275341045821497,/start_conversation,2020-07-14 08:14:13
43,3275341045821497,https://scontent.xx.fbcdn.net/v/t1.15752-9/109494420_789239918562558_4635041575071965355_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=ZgCSETClhocAX-B_5Vw&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=96498f9308369dd62bcad6d7b277508f&oe=5F33E2EE,2020-07-14 08:14:27
43,3275341045821497,E lấy 1 set đó ah,2020-07-14 08:14:58
44,1937469766375398,B ơi,2020-07-14 07:39:53
44,1937469766375398,Bên mình còn oto chòi chân cho bé ko b,2020-07-14 07:40:07
44,1937469766375398,"/confirm_object_type{""object_type"": ""xe_choi_chan""}",2020-07-14 07:40:46
45,1905097636231805,"alo
https://scontent.xx.fbcdn.net/v/t1.15752-9/107585302_281479722921982_3595317863322276400_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=Cx9E0QT_Xq0AX8skYag&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=da6200c6049db1042d70352d7021579f&oe=5F32B803
mẫu ghế này
bn vậy shop",2020-07-14 05:23:33
46,1482761775118642,Ghế oto joie stage bn s,2020-07-14 04:55:18
46,1482761775118642,Loại joie stage thoi,2020-07-14 04:55:51
47,4013499692054173,/start_conversation,2020-07-14 04:36:02
47,4013499692054173,Shop ơi. Shop có ghế ăn teknum ko,2020-07-14 04:36:21
47,4013499692054173,https://scontent.xx.fbcdn.net/v/t1.15752-9/107367992_572346516810881_1024879180551255775_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=6RaTER8zi_oAX-hJiJn&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1ce997d127ab606a68c2f8de8db487ea&oe=5F34227E,2020-07-14 04:36:48
47,4013499692054173,"https://scontent.xx.fbcdn.net/v/t1.15752-9/107367992_572346516810881_1024879180551255775_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=6RaTER8zi_oAX-hJiJn&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1ce997d127ab606a68c2f8de8db487ea&oe=5F34227E
Ghế teknum này shop",2020-07-14 04:37:38
47,4013499692054173,"/disagree{""object_type"": null}",2020-07-14 04:38:22
47,4013499692054173,"Ghế ăn dặm teknum ý shop
Kia là của mastela",2020-07-14 04:38:56
47,4013499692054173,"/confirm_attribute_value{""color"": ""Hồng""}",2020-07-14 04:41:14
47,4013499692054173,"/confirm_attribute_value{""price"": ""NULL_1""}",2020-07-14 04:41:22
47,4013499692054173,"/confirm_attribute_value{""weight"": ""NULL_1""}",2020-07-14 04:41:31
47,4013499692054173,"/confirm_attribute_value{""size"": ""NULL_1""}",2020-07-14 04:41:37
47,4013499692054173,"/confirm_attribute_value{""age_of_use"": ""0-36 Tháng""}",2020-07-14 04:41:48
47,4013499692054173,Thôi để mình tự tìm vậy,2020-07-14 04:42:25
48,3574319219264562,/start_conversation,2020-07-14 04:05:16
48,3574319219264562,Cho mình xin giá xe đẩy vovo 2 chiều 2020 với ạ,2020-07-14 04:05:42
48,3574319219264562,"Sao trên shopbee có 1tr400k mà shop mình 2tr2 vậy
https://scontent.xx.fbcdn.net/v/t1.15752-9/107666166_976421802786778_4326425833058115355_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=M3FDJ6tisUEAX__D8OW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=ab567ffb4ef07785578335f5b57a0aae&oe=5F329983",2020-07-14 04:07:05
49,1282703978418776,"Cho a 1 bộ bàn học màu xanh nhé
Chỉ có 1 cỡ này thôi đúng ko em",2020-07-14 03:51:14
50,3373374866026230,Cho c cai vo lang nhe,2020-07-13 01:58:45
51,3373374866026230,/start_conversation,2020-07-14 02:48:39
51,3373374866026230,E oi hn co giao dc do cho c k,2020-07-14 02:49:00
52,3252378564784620,/start_conversation,2020-07-14 02:12:46
52,3252378564784620,Shop ơi,2020-07-14 02:12:56
52,3252378564784620,Mình hỏi ghế ngồi xe ô tô cho bé,2020-07-14 02:13:15
52,3252378564784620,https://scontent.xx.fbcdn.net/v/t1.15752-9/109110788_2001083213355593_1342963989717910211_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=9aE8eyuHkmkAX8W1y6e&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=15ace2cb579e1aabc9281babef312065&oe=5F30E8A3,2020-07-14 02:13:35
52,3252378564784620,"/disagree{""object_type"": null}",2020-07-14 02:13:58
52,3252378564784620,/connect_employee,2020-07-14 02:14:03
53,2460085540731535,"https://scontent.xx.fbcdn.net/v/t1.15752-9/108144566_618363619093348_4641773473179346382_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=wTi3oJHMZXkAX8e7LDV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=e318206a199bf566503a73f344bc5546&oe=5F30FDB0
Bộ này bnhieu b",2020-07-14 02:08:16
53,2460085540731535,"/disagree{""object_type"": null}",2020-07-14 02:08:41
54,3045814155539888,/start_conversation,2020-07-14 01:42:50
54,3045814155539888,"https://scontent.xx.fbcdn.net/v/t1.15752-9/108222640_1400288563492484_4881575789115449614_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=ZzOW7DaJsLkAX8x-aVU&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=d95c3a752ff29a8b059a714d4d27d54c&oe=5F336E03
Trc m hỏi mẫu này ở shopee này
Hết rồi đúng k ạ",2020-07-14 01:43:53
55,3283232461734614,/start_conversation,2020-07-14 01:37:35
55,3283232461734614,Hello,2020-07-14 01:39:24
56,1988726177876997,B ơi,2020-07-14 01:18:05
56,1988726177876997,"https://scontent.xx.fbcdn.net/v/t1.15752-9/108174424_569249463765135_4018640388707231192_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=3qImAytwVC8AX-N87Rr&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=8cfd284a13a36bcd5c9518ba0a2650fa&oe=5F31447D
Xe này bên b có ko",2020-07-14 01:18:30
57,3993200080750441,/start_conversation,2020-07-14 00:55:28
57,3993200080750441,Shop còn 3 lô bỉm sửa k ah,2020-07-14 00:55:55
58,2758356020846952,"https://scontent.xx.fbcdn.net/v/t1.15752-9/107486767_3576272385733826_5621131008893083230_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_ohc=mNHfhtIJQbUAX-COpTH&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=ad360111ffe9af8bf151ce63f7853d48&oe=5F30CA51
E ơi bảng này bnhieeu",2020-07-13 15:38:32
58,2758356020846952,Có kèm bảng chữ và bút không,2020-07-13 15:40:12
59,2982396475105608,Bạn ơi balo này shop mình còn bán ko ạ,2020-07-13 12:08:06
60,2982396475105608,Bạn ới,2020-07-13 14:30:41
61,3036039259840289,/start_conversation,2020-07-13 11:59:40
61,3036039259840289,"Mình
Muốn quà sinh nhật cho bé gái 1y
Nhờ shop tư vấn",2020-07-13 12:00:05
62,2433459156728244,"Chào shop
Cho m hỏi bên b có
https://scontent.xx.fbcdn.net/v/t1.15752-9/107693387_280490179957607_5704287349770148412_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=UYRrFXR8l7UAX-iPJ_e&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=8b66c1b68cc6f013a7885a2970d4edcd&oe=5F327AE3
Ghế gội đầu k ạ???",2020-07-13 10:50:01
63,1622338524530467,"https://scontent.xx.fbcdn.net/v/t1.15752-9/107443986_274834697071722_6723572982702141412_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=kFbln5Q8uDsAX_lxxAe&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=01eb158bfe6d68c25709fd02b54434b1&oe=5F3336A4
bộ này bn vậy shop",2020-07-13 09:54:14
63,1622338524530467,"/disagree{""object_type"": null}",2020-07-13 09:57:18
64,1762057613861595,https://scontent.xx.fbcdn.net/v/t1.15752-9/109120219_914185992382239_8713342984520644159_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=JUwgLngkcukAX_TK6iU&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c71898e4b9ace0354a159a7aa6e19709&oe=5F30E9A8,2020-07-13 07:13:21
64,1762057613861595,Bạn ơi bên bạn còn mẫu này ko ạ,2020-07-13 07:13:33
65,1762057613861595,Mình muốn mua cái đai xe máy phane quang,2020-07-13 07:30:34
65,1762057613861595,"Bạn ship giúp mình trong chiều nay dc ko
Mình cám ơn",2020-07-13 07:31:22
66,3646076928739707,/start_conversation,2020-07-13 07:20:46
66,3646076928739707,"Shop ơi, bên mình còn sẵn xe đẩy này ko ạ?
https://scontent.xx.fbcdn.net/v/t1.15752-9/105427190_747746172639669_3655270502832131495_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=u8AUcqoVv4IAX-xfmLS&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=b630d2469ffffa744ee3a83809ddd2f1&oe=5F32DF90",2020-07-13 07:21:28
66,3646076928739707,Mình muốn đến xem ạ,2020-07-13 07:21:38
66,3646076928739707,Bên mình buổi tối mở cửa đến mấy giờ ạ?,2020-07-13 07:25:21
67,1641451072607610,"Bộ này giá bn ?
https://scontent.xx.fbcdn.net/v/t1.15752-9/107734304_300353187821898_3655960134390167467_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=WXrzZ53RmzMAX-Akl5M&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=80c23eeaf4b7055193569a8560c79abd&oe=5F337D28",2020-07-13 07:12:14
67,1641451072607610,https://scontent.xx.fbcdn.net/v/t1.15752-9/107609516_300353194488564_3058628256748303256_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=agJf0d_8TCUAX88MkCj&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=79b21eafe420197f78e6baff9a8b6a67&oe=5F3379F7,2020-07-13 07:15:18
67,1641451072607610,Bộ này giá bn,2020-07-13 07:15:30
68,3082687208492229,/start_conversation,2020-07-13 07:10:04
68,3082687208492229,để cho mình 1 bộ xúc cát nhé,2020-07-13 07:10:40
69,3206444852782089,/start_conversation,2020-07-13 06:47:37
69,3206444852782089,https://scontent.xx.fbcdn.net/v/t1.15752-9/108549501_199728561457774_8537790724710815689_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=gAPsAozWtNoAX-pRzU_&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=b73f1a9a977df119b2eb5691f3395bad&oe=5F315A16,2020-07-13 06:47:47
69,3206444852782089,Thảm này bao nhieu vậy shop,2020-07-13 06:49:05
