id,timestamp,sender_id,message,bot_message,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
31,2020-06-03,1828419810617061,Xe lắc k còn mẫu nào à c,"Sản phẩm  Xe Chòi Chân   có giá bán thấp nhất từ: *510,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!", ,0,query_knowledge_base,2020-06-03 09:18:11,2020-06-03 09:18:11,0.0
31,2020-06-03,1828419810617061,"https://scontent.xx.fbcdn.net/v/t1.15752-9/102919624_749561232451287_7489720002631696384_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=C3Uf3QGKq2EAX_ebHSB&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=ca562ba3c6c6046ee8b77e29ddcd345c&oe=5EFC9D20
Xe xanh ạ",Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!, ,0,query_knowledge_base,2020-06-03 09:21:13,2020-06-03 09:21:17,4.0
31,2020-06-03,1828419810617061,"Mình thấy còn mẫu
Bạn cho mình đătj qua đây đc k",Bot doing sth, ,0,query_knowledge_base,2020-06-03 09:22:32,2020-06-03 09:22:32,0.0
31,2020-06-03,1828419810617061,Là sao ạ,bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-03 09:23:12,no_timestamp,no_wait_time
32,2020-06-03,1939147366104320,báo giá giúp m bộ này,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!", ,0,query_knowledge_base,2020-06-03 04:31:56,2020-06-03 04:31:56,0.0
32,2020-06-03,1939147366104320,https://scontent.xx.fbcdn.net/v/t1.15752-9/83664393_581833999186487_1951526770142347264_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=ZOjmWroP65kAX_N2BEP&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=4002c35f7d26688f546402f950877fd3&oe=5EFC6066,"Sản phẩm  Bàn ghế đa năng Lego Holla chính hãng / Mẫu Gấu  hiện shop đang có mức giá: *890,000 VND (giá gốc 1,400,000 VND)*.
", ,0,send_link,2020-06-03 04:33:38,2020-06-03 04:33:41,3.0
32,2020-06-03,1939147366104320,"bàn này là loại khác hả b
https://scontent.xx.fbcdn.net/v/t1.15752-9/82154917_342805060034781_1411412487818969088_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=_Be8yoyl-cMAX_nUKzD&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=004d74d316f1cb040cf0cb3a06fa3618&oe=5EFCD8A6","Sản phẩm Bàn ghế chơi Lego đa năng cao cấp gấp gọn SMONEO  hiện shop đang có mức giá: *1,100,000 VND (giá gốc 1,890,000 VND)*.
", ,0,query_knowledge_base,2020-06-03 04:41:02,2020-06-03 04:41:04,2.0
32,2020-06-03,1939147366104320,bàn đầu tiên 850k là k gập được đúng k b,bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-03 04:42:53,no_timestamp,no_wait_time
33,2020-06-03,2930131897023649,/start_conversation,"Chào Dung Nguyen, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!", ,0,start_conversation,2020-06-03 02:23:08,2020-06-03 02:23:09,1.0
33,2020-06-03,2930131897023649,"Bạn ơi cái kệ chữ A cho bé sơ sinh đến 12m  bao nhiêu hả bạn
https://scontent.xx.fbcdn.net/v/t1.15752-9/102433142_639480643306266_1385876330263871488_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=yFQ8FwYm4dQAX91m3Cf&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=e0825a10af0889136a1d7b9b82941bc5&oe=5EFB4E4A","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)", ,0,query_knowledge_base,2020-06-03 02:24:35,2020-06-03 02:24:37,2.0
33,2020-06-03,2930131897023649,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!, ,0,disagree,2020-06-03 02:25:41,2020-06-03 02:25:41,0.0
33,2020-06-03,2930131897023649,/connect_employee,bot handover_to_inbox,handover_to_inbox,0,connect_employee,2020-06-03 02:26:01,no_timestamp,no_wait_time
