id,timestamp,sender_id,message,bot_message,uc,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
51,2020-06-02,3260382887346217,/start_conversation,"Chào Nguyễn Hương Giang, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",1.1, ,0,start_conversation,2020-06-02 08:48:07,2020-06-02 08:48:08,1.0
51,2020-06-02,3260382887346217,https://scontent.xx.fbcdn.net/v/t1.15752-9/102422779_589489631687551_4880899490573189120_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=ode5xhoqkoUAX9uJju2&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=dcc82c92b4d95e6627800cf864eeada1&oe=5EFD03AC,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-02 08:51:02,2020-06-02 08:51:02,0.0
51,2020-06-02,3260382887346217,B ơi  mình mua cái này trên shopee,bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-02 08:51:14,no_timestamp,no_wait_time
52,2020-06-01,2043629462316016,"Hi b
B còn em này ko nhì
https://scontent.xx.fbcdn.net/v/t1.15752-9/100679384_268659557614354_8786359535393570816_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=tdlls2VFDssAX9XWm8j&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9f7b66d2b06741dfbcad1fa055afb56e&oe=5EFA5D9F","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",1.1, ,0,query_knowledge_base,2020-06-01 08:24:18,2020-06-01 08:24:21,3.0
52,2020-06-01,2043629462316016,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100679384_268659557614354_8786359535393570816_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=tdlls2VFDssAX9XWm8j&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9f7b66d2b06741dfbcad1fa055afb56e&oe=5EFA5D9F
Gấu bông này này b","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-01 08:24:56,2020-06-01 08:24:59,3.0
52,2020-06-01,2043629462316016,Alooo,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",, ,0,greet,2020-06-01 08:36:53,2020-06-01 08:36:53,0.0
53,2020-06-01,1490627661029749,https://scontent.xx.fbcdn.net/v/t1.15752-9/95924396_2946321842110869_398733390687240192_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=SF5T3o0EUXAAX-mE8BA&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9831d50138666e549a451c0da15248e7&oe=5EFBB591,Bạn đang tìm kiếm thông tin gì ạ?,1.1, ,0,send_link,2020-06-01 06:50:43,2020-06-01 06:50:43,0.0
53,2020-06-01,1490627661029749,"Balô nay có bánh xe k em
https://scontent.xx.fbcdn.net/v/t1.15752-9/95924396_2946321842110869_398733390687240192_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=SF5T3o0EUXAAX-mE8BA&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9831d50138666e549a451c0da15248e7&oe=5EFBB591",bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-01 06:51:33,no_timestamp,no_wait_time
54,2020-06-01,2170909172925487,/start_conversation,"Chào Lê Trang, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",1.1, ,0,start_conversation,2020-06-01 04:34:26,2020-06-01 04:34:26,0.0
54,2020-06-01,2170909172925487,"Bộ này có về lại ko ạ
https://scontent.xx.fbcdn.net/v/t1.15752-9/96689610_2628134154109833_4626651080351023104_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=grLPIF_TLUwAX9RYOpj&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=454cdb0f50c873bb6819e9745d784e38&oe=5EFA2BEF",bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-01 04:34:51,no_timestamp,no_wait_time
55,2020-06-01,1573116472772875,"Địu này thì sao ạ
https://scontent.xx.fbcdn.net/v/t1.15752-9/82263361_535213703813820_1100154541430538240_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_oc=AQkvEXnYS4upNVaanH34OUvYPPXb6zSWMdZfcCHqZTwQ0QShNeqzsQ9eMcRSR6Gtye6CGlR6pBttai4bZwFb7jhl&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=7d6bcb964dfda11205e33fe8b29f11fc&oe=5EF9629A",Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!,1.1, ,0,query_knowledge_base,2020-06-01 03:38:12,2020-06-01 03:38:16,4.0
55,2020-06-01,1573116472772875,"Hnay có ship đc ko ạ
Mình ở mễ trì b ạ",bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-01 03:44:50,no_timestamp,no_wait_time
56,2020-06-01,2372599362843381,"Cho mình đặt một cái
289 Nguyễn Thái Bình phường 12 Tân Bình","Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",, ,0,query_knowledge_base,2020-06-01 03:15:35,2020-06-01 03:15:36,1.0
56,2020-06-01,2372599362843381,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100053207_939528963150995_6609365575124647936_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_oc=AQlY5fp8JYkANSxtXJp9SZ3CZ2dCJxk31KlkiXG3a7h0P_QO6yLd-sNE7EuvEnwZ6u1UlhtPJdSjkjpsnApgxf3C&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c80917ba1d60a86746b615e5ec79fbd7&oe=5EFA6D56
Này nè bạn","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-01 03:16:12,2020-06-01 03:16:18,6.0
56,2020-06-01,2372599362843381,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,1.2, ,0,disagree,2020-06-01 03:16:40,2020-06-01 03:16:40,0.0
56,2020-06-01,2372599362843381,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101667761_271439810894014_7649944380379234304_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_oc=AQmcYNZFz58WyZPuqPAMi-1o89XJTPTdzGED5IMiHV0jLIwQoqorxVnAmRauyj4oqVb9IgDR76P9lEWwFsqB1F5Y&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=645233dbaa4a793e444c7c617de63c45&oe=5EF8F9DA
Mình muốn đặt cái này","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-01 03:17:36,2020-06-01 03:17:41,5.0
56,2020-06-01,2372599362843381,"Kệ chữ A Umoo
https://scontent.xx.fbcdn.net/v/t1.15752-9/101667761_271439810894014_7649944380379234304_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_oc=AQmcYNZFz58WyZPuqPAMi-1o89XJTPTdzGED5IMiHV0jLIwQoqorxVnAmRauyj4oqVb9IgDR76P9lEWwFsqB1F5Y&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=645233dbaa4a793e444c7c617de63c45&oe=5EF8F9DA","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-01 03:20:09,2020-06-01 03:20:11,2.0
56,2020-06-01,2372599362843381,Ủa shop bị sao vậy 🙄,bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-01 03:20:37,no_timestamp,no_wait_time
