conversation_id,turn,uc5,uc4,message_id,fb_conversation_id,sender_id,to_sender_id,sender_name,user_message,bot_message,updated_time,created_time,attachments,user_message_clean
5,0,,,m_JwVwfBTzFW3HOmzV8kcpJcmT119p6OF_tZ5B9YynJVV28dgd16fWm55BfOJXyBgSHDbZbQ7E4KLa4RXQfqQt3Q,t_10155029639583166,1454523434857990,1239393129501042,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,size to 450k ạk,2020-08-03T01:47:47+0000,2020-08-03T01:47:47+0000,,user
6,0,,,m_f4D8RijVL8fZqZXgBaw1ilJAwpG5NGNP5go_y9RpovsAiRCEZUvh5Tsck7dFJXtgszsXpP9sPL5JsDyttRuHGQ,t_2802095269800634,1454523434857990,3119336191470892,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,https://shopee.vn/search?keyword=gi%C6%B0%E1%BB%9Dng%20c%C5%A9&shop=36371562,2020-08-03T01:49:31+0000,2020-08-03T01:49:30+0000,,user
6,0,,,m_OL6RQHuWtRSBjujr-CBOTVJAwpG5NGNP5go_y9Rpovsy4faCpHeThT6fTlAZm0dkBlQ8nyrCJ19kcjPk0Vcc6w,t_2802095269800634,1454523434857990,3119336191470892,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,,2020-08-03T01:49:31+0000,2020-08-03T01:49:31+0000,,user
7,0,,,m_sieCZAOuVQ3gSwCx5dcY1pYfKgKEBroDCPFFNQz0n1uW8dohV6e4KjtpmUsNS5DrSVhUIvUHUkwnlhKv8LcBkw,t_1849103358489152,1454523434857990,1708478969200160,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2525899064387083/?comment_id=2529410834035906),2020-08-03T01:49:50+0000,2020-08-03T01:49:49+0000,,user
7,0,,,m_E0HP-JuT_EQh14Oc1ix1DZYfKgKEBroDCPFFNQz0n1sbUah01q81a41mRKkMueQ5AfLKhSx8ENztNKt3AS23Wg,t_1849103358489152,1454523434857990,1708478969200160,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,"Mẫu NGÔI NHÀ - Quây bóng Toys House gồm 3 size.

. Kích thước 100cm x 132cm x 60cm (gồm 11 cánh và 1 cửa) 
-Gấu & Bí Ngô KM chỉ #990k

. Kích thước 132cm x 132cm x 60cm (gồm 13 cánh và 1 cửa)- Gấu & Bí Ngô KM chỉ #1290k

 Kích thước 132cm x 165cm x 60cm(gồm 15 cánh và 1 cửa ) -Gấu & Bí Ngô KM chỉ #1390k


Ảnh thật đây ạ: https://www.facebook.com/1454523434857990/posts/2191143281195998?sfns=mo

NẾU CÁC MẸ MUỐN FREE SHIP TOÀN QUỐC ĐẶT LINK DƯỚI DÙM MÌNH NHE : 
https://tiki.vn/quay-cao-cap-hinh-ngoi-nha-toys-house-chinh-hang-th319-102b-p48489553.html?src=search&2hi=0&keyword=Qu%C3%A2y+cao+c%E1%BA%A5p+h%C3%ACnh+ng%C3%B4i+nh%C3%A0+Toys+House+CH%C3%8DNH+H%C3%83NG

https://tiki.vn/quay-cao-cap-hinh-ngoi-nha-toys-house-chinh-hang-th319-122b-p48490900.html?src=search&2hi=0&keyword=Qu%C3%A2y+cao+c%E1%BA%A5p+h%C3%ACnh+ng%C3%B4i+nh%C3%A0+Toys+House+CH%C3%8DNH+H%C3%83NG

https://tiki.vn/quay-cao-cap-hinh-ngoi-nha-toys-house-chinh-hang-th319-142b-p48490570.html?src=search&2hi=0&keyword=Qu%C3%A2y+cao+c%E1%BA%A5p+h%C3%ACnh+ng%C3%B4i+nh%C3%A0+Toys+House+CH%C3%8DNH+H%C3%83NG",2020-08-03T01:49:50+0000,2020-08-03T01:49:50+0000,,user
8,0,,,m_gKqxBJbPxQj_TqpHfURGv0ErDGlIEdIdrpv4A8_9NTGB6NGUtxZ-Q79EhbYcW9RkxRNcGfFcCqtvLsn1K5h3Ug,t_135871010499099,1454523434857990,1489149284504000,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2525908977719425/?comment_id=2530229997287323),2020-08-03T01:54:37+0000,2020-08-03T01:45:34+0000,,user
8,0,,,m_aHdGsHIgTb-pq9N8HXqlVkErDGlIEdIdrpv4A8_9NTGVX5ciB9nLkqnczFdhBCO5v2Qsb7SWo-vyEmVxwYlrdw,t_135871010499099,1454523434857990,1489149284504000,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ 720k bảng ạ,2020-08-03T01:54:37+0000,2020-08-03T01:45:34+0000,,user
8,1,,,m_NFiU5a-hbAPheTMPwnHuhkErDGlIEdIdrpv4A8_9NTFBweXJ54aFZiPZ8tDumkIVxkRkqp-2LY4ZKx_WOoOgUA,t_135871010499099,1489149284504000,1454523434857990,Huyền Mta,,bot,2020-08-03T01:54:37+0000,2020-08-03T01:54:37+0000,,
9,0,,,m_NJT_FNk4UC7IDAbGugtU3GG9R-yxb8b8LNx051S16LbW4tII5sks60crT9GCoS4jCDkx6swCo781Cm9FK9dPNA,t_2174044152880344,1454523434857990,1983864208335367,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2528363374140652/?comment_id=2529334847376838),2020-08-03T01:55:57+0000,2020-08-03T01:55:56+0000,,user
9,0,,,m_qzwTUr6ilaeGdgnuP0GQrmG9R-yxb8b8LNx051S16LZ7HkEBMRqEWCde9fX3BQG4flb2rB5tbPbiishACkGqSQ,t_2174044152880344,1454523434857990,1983864208335367,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ 970k ạ,2020-08-03T01:55:57+0000,2020-08-03T01:55:57+0000,,user
