,id,sender_id,message,bot_message,timestamp,bot_timestamp,user_intent,outcome,silent,prediction
944,351,1964666693655678,shop ơi,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-06 06:58:27,2020-05-06 06:58:27,greet, ,,other
945,351,1964666693655678,nhà mình còn xe scooter k ạ, ,2020-05-06 06:58:38,2020-05-06 06:58:39,query_knowledge_base, ,,uc_1
946,351,1964666693655678,xe scooter 3 in 1 ấy shop,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-06 06:59:21,2020-05-06 06:59:21,query_knowledge_base, ,,
947,351,1964666693655678,"https://scontent.xx.fbcdn.net/v/t1.15752-9/96214233_245567303321622_8031778659599646720_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_oc=AQkDUxOmh8F1ZrsWLGjMiLkHyJacqsdkzCrysq1De1iwqiMiaIJKATJ-DP-mI28gMeiSeIj11kxULwY85v5u0V54&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=48dd22381a87c80f300e41a6ab4567cb&oe=5ED9BFC3
kiểu xe như vầy", ,2020-05-06 07:00:29, ,handover_to_inbox,handover_to_inbox,,
948,352,3724118784327463,Bên bạn mấy h ship đi được cho mình?, ,2020-05-06 06:50:35, ,handover_to_inbox,shipping_order,,
949,353,1939155506145768,Bạn ơi,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-06 05:06:17,2020-05-06 05:06:17,greet, ,,other
950,353,1939155506145768,"https://scontent.xx.fbcdn.net/v/t1.15752-9/95630569_1097623120614266_6264933236917403648_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=a6jxeY8KiWMAX_6PV8l&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=735a67c95205421f008c27e9f5995eb2&oe=5ED83D74
Giá bn vậy bạn","Sản phẩm  Yếm máng Mastela  hiện shop đang có giá: *65,000 VND (giá gốc 79,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-06 05:06:57,2020-05-06 05:06:58,query_knowledge_base, ,,uc_2
951,353,1939155506145768,https://scontent.xx.fbcdn.net/v/t1.15752-9/95630569_1097623120614266_6264933236917403648_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=a6jxeY8KiWMAX_6PV8l&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=735a67c95205421f008c27e9f5995eb2&oe=5ED83D74,"Sản phẩm  Yếm máng Mastela  hiện shop đang có giá: *65,000 VND (giá gốc 79,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-06 05:10:21,2020-05-06 05:10:22,send_link,other,1.0,
952,354,2293129874056858,shop ơi cho mình xin giá thanh chắn giường với, ,2020-05-06 04:04:35,2020-05-06 04:04:35,query_knowledge_base, ,,
953,354,2293129874056858,mình muốn mua 3 thanh: 2 cái 2m 1 cái 2m2,"Sản phẩm  Thanh chắn giường cao cấp dạng trượt Umoo chính hãng kích thước 2M2 hiện shop đang có giá: *430,000 VND (giá gốc 610,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-06 04:04:55,2020-05-06 04:04:55,query_knowledge_base, ,,
954,354,2293129874056858,2m thì giá ntn ạ,"Sản phẩm  Thanh chắn giường điều chỉnh độ cao Mastela cao cấp kích thước 2M hiện shop đang có giá: *509,150 VND (giá gốc 599,000 VND), 458,150 VND (giá gốc 539,000 VND), 483,650 VND (giá gốc 569,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-06 04:06:01,2020-05-06 04:06:02,query_knowledge_base, ,,
955,354,2293129874056858,Dòng umoo này chỉ có 1 màu này thôi đúng k ạ?, ,2020-05-06 04:06:25, ,handover_to_inbox,handover_to_inbox,,
956,355,3054761137921691,/start_conversation,"Chào Thu Phương, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-06 03:54:49,2020-05-06 03:54:49,start_conversation, ,,other
957,355,3054761137921691,https://scontent.xx.fbcdn.net/v/t1.15752-9/96095604_571138863524998_257333218942910464_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=-ROl2RaKKO4AX8jz2Ef&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=3f6f415f68521ff4c0b26626d0220edc&oe=5ED7575A,Bạn đang tìm kiếm thông tin gì ạ?,2020-05-06 03:55:10,2020-05-06 03:55:10,send_link, ,,other
